FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LAT,LONG_,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,INCIDENT_RATE,CASE_FATALITY_RATIO2
,,Andaman and Nicobar Islands,India,2021-01-02 05:22:33,11.225999,92.968178,4945,62,4826,57,"Andaman and Nicobar Islands, India",1185.748952,1.253791709
,,Andhra Pradesh,India,2021-01-02 05:22:33,15.9129,79.74,882286,7108,871916,3262,"Andhra Pradesh, India",1636.791213,0.805634454
,,Arunachal Pradesh,India,2021-01-02 05:22:33,27.768456,96.384277,16719,56,16564,99,"Arunachal Pradesh, India",1064.593896,0.334948263
,,Assam,India,2021-01-02 05:22:33,26.357149,92.830441,216211,1045,211910,3256,"Assam, India",607.2142084,0.48332416
,,Bihar,India,2021-01-02 05:22:33,25.679658,85.60484,251743,1397,245476,4870,"Bihar, India",201.717267,0.554931021
,,Chandigarh,India,2021-01-02 05:22:33,30.733839,76.768278,19748,317,19045,386,"Chandigarh, India",1704.657769,1.605225846
,,Chhattisgarh,India,2021-01-02 05:22:33,21.264705,82.035366,279575,3371,264769,11435,"Chhattisgarh, India",949.7649342,1.205758741
,,Dadra and Nagar Haveli and Daman and Diu,India,2021-01-02 05:22:33,20.194742,73.080901,3378,2,3365,11,"Dadra and Nagar Haveli and Daman and Diu, India",548.6224347,0.059206631
,,Delhi,India,2021-01-02 05:22:33,28.646519,77.10898,625369,10536,609322,5511,"Delhi, India",3342.267153,1.684765315
,,Goa,India,2021-01-02 05:22:33,15.359682,74.057396,51066,739,49388,939,"Goa, India",3219.29078,1.44714683
,,Gujarat,India,2021-01-02 05:22:33,22.694884,71.590923,245038,4306,230893,9839,"Gujarat, India",383.6367568,1.757278463
,,Haryana,India,2021-01-02 05:22:33,29.20004,76.332824,262325,2905,255853,3567,"Haryana, India",930.0757477,1.107404937
,,Himachal Pradesh,India,2021-01-02 05:22:33,31.927213,77.233081,55277,934,51728,2615,"Himachal Pradesh, India",741.7784997,1.689672015
,,Jammu and Kashmir,India,2021-01-02 05:22:33,33.75943,76.612638,120971,1883,116079,3009,"Jammu and Kashmir, India",889.0794866,1.55657141
,,Jharkhand,India,2021-01-02 05:22:33,23.654536,85.557631,115113,1030,112424,1659,"Jharkhand, India",298.2669718,0.894772962
,,Karnataka,India,2021-01-02 05:22:33,14.70518,76.166436,919496,12090,896116,11290,"Karnataka, India",1360.952405,1.314850744
,,Kerala,India,2021-01-02 05:22:33,10.450898,76.405749,760933,3072,692480,65381,"Kerala, India",2131.498242,0.403714913
,,Ladakh,India,2021-01-02 05:22:33,34.1526,77.5771,9466,127,9144,195,"Ladakh, India",3451.104492,1.341643778
,,Lakshadweep,India,2021-01-02 05:22:33,13.6999972,72.1833326,0,0,0,0,"Lakshadweep, India",0,
,,Madhya Pradesh,India,2021-01-02 05:22:33,23.541513,78.289633,241791,3606,228831,9354,"Madhya Pradesh, India",283.2637439,1.491370647
,,Maharashtra,India,2021-01-02 05:22:33,19.449759,76.108221,1932112,49521,1828546,54045,"Maharashtra, India",1568.983061,2.563050175
,,Manipur,India,2021-01-02 05:22:33,24.738975,93.882541,28188,355,26678,1155,"Manipur, India",911.7771211,1.259401164
,,Meghalaya,India,2021-01-02 05:22:33,25.536934,91.278882,13427,139,13139,149,"Meghalaya, India",398.8166489,1.035227527
,,Mizoram,India,2021-01-02 05:22:33,23.309381,92.83822,4216,8,4098,110,"Mizoram, India",340.2074168,0.189753321
,,Nagaland,India,2021-01-02 05:22:33,26.06702,94.470302,11927,79,11646,202,"Nagaland, India",530.1607551,0.662362707
,,Odisha,India,2021-01-02 05:22:33,20.505428,84.418059,329621,1873,325432,2316,"Odisha, India",711.0592481,0.568228359
,,Puducherry,India,2021-01-02 05:22:33,11.882658,78.86498,38132,633,37115,384,"Puducherry, India",2697.620587,1.660023078
,,Punjab,India,2021-01-02 05:22:33,30.841465,75.40879,166522,5341,157496,3685,"Punjab, India",552.469856,3.207384009
,,Rajasthan,India,2021-01-02 05:22:33,26.583423,73.847973,308243,2696,295987,9560,"Rajasthan, India",380.393399,0.874634623
,,Sikkim,India,2021-01-02 05:22:33,27.571671,88.472712,5889,127,5233,529,"Sikkim, India",853.1679056,2.156563084
,,Tamil Nadu,India,2021-01-02 05:22:33,11.006091,78.400624,818014,12122,797391,8501,"Tamil Nadu, India",1050.874467,1.481881728
,,Telangana,India,2021-01-02 05:22:33,18.1124,79.0193,286815,1544,279456,5815,"Telangana, India",728.6460706,0.538326099
,,Tripura,India,2021-01-02 05:22:33,23.746783,91.743565,33268,385,32779,104,"Tripura, India",797.8331783,1.157268246
,,Unknown,India,2021-01-02 05:22:33,,,0,0,0,0,"Unknown, India",,
,,Uttar Pradesh,India,2021-01-02 05:22:33,26.925425,80.560982,585902,8364,563278,14260,"Uttar Pradesh, India",246.2986751,1.42754249
,,Uttarakhand,India,2021-01-02 05:22:33,30.156447,79.197608,90920,1509,84692,4719,"Uttarakhand, India",808.1161455,1.659700836
,,West Bengal,India,2021-01-02 05:22:33,23.814082,87.979803,552063,9712,530366,11985,"West Bengal, India",554.2283536,1.759219509
,,Andaman and Nicobar Islands,India,2021-01-17 05:22:17,11.225999,92.968178,4982,62,4895,25,"Andaman and Nicobar Islands, India",1194.621088,1.244480128
