PROVINCE_STATE,LAST_UPDATE,DEATHS,ACTIVE,RECOVERED,CONFIRMED,POPULATION
Unknown,22-06-2021 04:21,0,0,0,0,0
Nagaland,22-06-2021 04:21,475,1844,22055,24374,1978502
Odisha,22-06-2021 04:21,3633,32099,844801,880533,41974219
Puducherry,22-06-2021 04:21,1726,3364,109990,115080,1247953
Punjab,22-06-2021 04:21,15854,6477,570327,592658,27743338
Rajasthan,22-06-2021 04:21,8901,2691,939664,951256,68548437
Sikkim,22-06-2021 04:21,293,2448,16580,19321,610577
Tamil Nadu,22-06-2021 04:21,31386,61329,2337209,2429924,72147030
Telangana,22-06-2021 04:21,3576,17246,593577,614399,35003674
Tripura,22-06-2021 04:21,654,3910,58181,62745,3673917
Uttar Pradesh,22-06-2021 04:21,22224,4163,1678089,1704476,199812341
Uttarakhand,22-06-2021 04:21,7044,2964,328799,338807,10086292
West Bengal,22-06-2021 04:21,17390,22740,1443456,1483586,91276115
Andaman and Nicobar Islands,22-06-2021 04:21,127,97,7191,7415,380581
Andhra Pradesh,22-06-2021 04:21,12363,58140,1782680,1853183,49577103
Arunachal Pradesh,22-06-2021 04:21,159,2539,30677,33375,1383727
Assam,22-06-2021 04:21,4243,32625,448442,485310,31205576
Bihar,22-06-2021 04:21,9557,3017,707365,719939,104099452
Chandigarh,22-06-2021 04:21,806,311,60327,61444,1055450
Chhattisgarh,22-06-2021 04:21,13395,8564,969212,991171,25545198
Dadra and Nagar Haveli and Daman and Diu,22-06-2021 04:21,4,60,10452,10516,585764
Delhi,22-06-2021 04:21,24925,1996,1405460,1432381,16787941
Goa,22-06-2021 04:21,2997,3066,158591,164654,1458545
Gujarat,22-06-2021 04:21,10034,5639,806812,822485,60439692
Haryana,22-06-2021 04:21,9275,2337,755968,767580,25351462
Himachal Pradesh,22-06-2021 04:21,3448,2408,194747,200603,6864602
Jammu and Kashmir,22-06-2021 04:21,4262,7759,300135,312156,12267032
Jharkhand,22-06-2021 04:21,5100,1489,338076,344665,32988134
Karnataka,22-06-2021 04:21,34025,123156,2654139,2811320,61095297
Kerala,22-06-2021 04:21,12154,100135,2704554,2816843,33406061
Ladakh,22-06-2021 04:21,202,365,19271,19838,274000
Lakshadweep,22-06-2021 04:21,46,319,9106,9471,64473
Madhya Pradesh,22-06-2021 04:21,8786,1980,778584,789350,72626809
Maharashtra,22-06-2021 04:21,118313,127523,5733215,5979051,112374333
Manipur,22-06-2021 04:21,1055,9298,54065,64418,2570390
Meghalaya,22-06-2021 04:21,785,4196,40574,45555,2966889
Mizoram,22-06-2021 04:21,85,4227,13667,17979,1097206
